127.0.0.1 - - [22/Jun/2016:15:48:40 +0800] "GET / HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:44 +0800] "GET / HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /include/jQuery/style.ui.smoothness/jquery-ui-1.10.3.min.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 27523
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /include/jQuery/stylesheets/jquery.xhupload.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /css/v0.1/validationEngine.jquery.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /css/v0.1/demo.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /css/v0.2/nav.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /css/animate.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 61188
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /css/v0.2/style.css;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 24497
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /js/v0.1/jquery-migrate-1.2.1.min.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 7200
