127.0.0.1 - - [18/Jul/2016:09:25:53 +0800] "GET / HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:02 +0800] "GET / HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /favicon.ico HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /include/jQuery/style.ui.smoothness/jquery-ui-1.10.3.min.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 27523
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /css/v0.1/demo.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /include/jQuery/stylesheets/jquery.xhupload.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /css/v0.1/validationEngine.jquery.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /css/v0.2/style.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 24497
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /css/v0.2/nav.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /css/animate.css;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 61188
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /js/v0.1/jquery-migrate-1.2.1.min.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /manager/login HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /js/v0.1/jquery-1.9.0.min.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 93071
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /images/print/pageheader02.png;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 9900
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /include/jQuery/jquery.ui.datepicker-zh.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:03 +0800] "GET /js/v0.1/jquery.validationEngine-zh_CN.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 9395
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.1/common.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 13217
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/jquery.CommonUtil.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 7831
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.1/jquery.validationEngine.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 74575
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.1/spin.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/jquery.dialog.iframe.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.1/demo.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/common_ajax2.0.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.1/jquery.iplugin.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /include/jQuery/jquery-ui-1.10.3.custom.min.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 228142
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/show_page2.0.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/xheditor/xheditor_lang/zh-cn.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/xheditor/xheditor-1.2.1.min.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 68789
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/func/select_member.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 6822
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /include/jQuery/jquery.select.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/func/create_editor.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/common_listtable.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/common_cptb.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 13323
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.1/loading.js;jsessionid=55ECD413A6C5003DC6395D114420CCED?v=2.0 HTTP/1.1" 200 9322
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/form_validator.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 10047
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /include/jQuery/jquery.xhupload.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 5256
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/v0.2/Cookie_Imp.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:04 +0800] "GET /js/HttpCookie.min.js;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "POST /manager/check_login.action;jsessionid=55ECD413A6C5003DC6395D114420CCED HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /include/jQuery/style.ui.smoothness/jquery-ui-1.10.3.min.css HTTP/1.1" 200 27523
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /css/v0.2/style.css HTTP/1.1" 200 24497
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /css/v0.1/validationEngine.jquery.css HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /include/jQuery/stylesheets/jquery.xhupload.css HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /css/v0.1/demo.css HTTP/1.1" 200 17
